#                                                        a0: signalShape
#                                                          a1: syncPhase
#                                                       a2: binOfMaximum
#                                                          a3: timePhase
#                                                       a4: timeSmearing
#                                                      a5: packingScheme
#   eta  phi  dep        det      param1      DetId     a0   a1   a2     a3   a4   a5
    -11   22    1         HB   140908157    42004596   125    1    5    6.0    1    1
    -12   22    1         HB   140908157    42004616   125    1    5    6.0    1    1
    -13   22    1         HB   140908157    42004696   125    1    5    6.0    1    1
    -14   22    1         HB   140908157    42004716   125    1    5    6.0    1    1
    -15   22    1         HB   140908157    42004796   125    1    5    6.0    1    1
    -15   22    2         HB   140908157    42008796   125    1    5    6.0    1    1
    -16   22    1         HB   140908157    42004816   125    1    5    6.0    1    1
    -16   22    2         HB   140908157    42008816   125    1    5    6.0    1    1
     -1   23    1         HB   140908157    42004097   125    1    5    6.0    1    1
     -2   23    1         HB   140908157    42004117   125    1    5    6.0    1    1
     -3   23    1         HB   140908157    42004197   125    1    5    6.0    1    1
     -4   23    1         HB   140908157    42004217   125    1    5    6.0    1    1
     -5   23    1         HB   140908157    42004297   125    1    5    6.0    1    1
     -6   23    1         HB   140908157    42004317   125    1    5    6.0    1    1
